brand,model,year,mileage,fuel_type,transmission,owner_count,region,price,listing_date,days_to_sale
Toyota,RAV4,2016,121990,Hybrid,Automatic,4,East,9800.0,2026-03-27,48
Ford,F-150,2012,148649,Hybrid,Automatic,1,North,4550.0,2026-06-25,83
Toyota,Tacoma,2015,131936,Diesel,Automatic,1,West,7300.0,2025-12-17,85
Toyota,RAV4,2012,151374,Petrol,Automatic,2,West,5550.0,2025-11-26,25
Kia,Telluride,2016,175097,Petrol,Automatic,3,Metro,7550.0,2026-06-23,17
Hyundai,Elantra,2023,20725,Petrol,Automatic,1,East,18850.0,2026-06-22,22
Hyundai,Santa Fe,2016,82765,Petrol,Automatic,2,Central,8300.0,2026-04-26,45
Ford,Explorer,2018,42232,Petrol,Automatic,2,Metro,15450.0,2025-12-26,33
Mercedes-Benz,C-Class,2024,3000,Hybrid,Automatic,1,Central,47650.0,2026-08-02,27
Chevrolet,Equinox,2018,46657,Petrol,Automatic,1,Metro,11300.0,2026-08-12,25
Honda,Civic,2020,57034,Hybrid,Automatic,1,Central,14500.0,2026-08-01,43
Chevrolet,Silverado,2023,11295,Petrol,Automatic,1,Metro,36300.0,2026-04-25,21
Honda,Pilot,2023,13701,Petrol,Automatic,1,East,32450.0,2026-09-09,37
Honda,Civic,2012,163291,Hybrid,Automatic,3,Central,3000.0,2025-12-30,109
Ford,Explorer,2022,29317,Petrol,Automatic,1,East,30100.0,2026-03-19,22
Honda,Accord,2022,38515,Hybrid,Manual,1,South,24500.0,2026-02-16,50
Ford,Escape,2017,93315,Hybrid,Automatic,2,West,6800.0,2025-10-03,21
BMW,X5,2023,11237,Petrol,Automatic,1,East,58000.0,2026-06-26,44
Nissan,Sentra,2016,136476,Petrol,Automatic,2,Central,2650.0,2026-02-24,55
Porsche,Macan,2017,79928,Petrol,Automatic,2,West,28250.0,2026-05-18,16
Audi,Q5,2016,100703,Electric,Automatic,3,South,11200.0,2025-11-18,77
Subaru,Impreza,2022,24322,Petrol,Automatic,1,Metro,17750.0,2026-07-21,27
Porsche,Panamera,2017,90884,Hybrid,Manual,1,East,47300.0,2026-02-05,34
Honda,Civic,2022,17138,Petrol,Automatic,2,Central,17050.0,2026-07-17,33
Tesla,Model S,2013,124962,Electric,Automatic,2,South,11000.0,2026-07-30,88
Audi,A6,2021,48810,Petrol,Automatic,1,East,34950.0,2026-06-06,46
Chevrolet,Equinox,2021,39730,Electric,Automatic,1,North,19050.0,2026-02-17,81
Audi,A6,2017,151590,Petrol,Automatic,2,West,18250.0,2025-11-14,12
Audi,Q5,2024,3000,Petrol,Automatic,1,East,46650.0,2025-11-29,31
BMW,X3,2022,28558,Petrol,Automatic,1,Central,31850.0,2025-11-12,84
Toyota,Corolla,2019,56147,Hybrid,Manual,2,East,10550.0,2025-12-19,30
Toyota,Highlander,2021,40638,Diesel,Automatic,1,Metro,29150.0,2026-05-20,34
Toyota,RAV4,2021,26501,Petrol,Automatic,2,North,20050.0,2025-10-10,37
Hyundai,Sonata,2024,3000,Hybrid,Automatic,1,South,27250.0,2026-05-28,27
Mercedes-Benz,GLE,2024,3000,Petrol,Automatic,1,West,72100.0,2025-10-11,60
Mercedes-Benz,E-Class,2012,140143,Hybrid,Automatic,2,Metro,7200.0,2025-09-19,140
Honda,Accord,2018,85799,Hybrid,Automatic,3,Central,10650.0,2026-06-17,37
Ford,F-150,2016,131442,Petrol,Automatic,3,North,9000.0,2025-12-06,18
Audi,A6,2012,106638,Petrol,Automatic,2,East,6950.0,2026-07-05,52
Mercedes-Benz,GLE,2017,89965,Hybrid,Automatic,1,Metro,20400.0,2026-06-03,33
Toyota,Highlander,2015,156280,Petrol,Automatic,2,South,11000.0,2026-08-10,41
Honda,Civic,2018,35458,Petrol,Automatic,2,West,11450.0,2026-04-22,19
Nissan,Pathfinder,2018,49828,Electric,Automatic,2,East,14450.0,2026-05-13,22
Honda,Pilot,2019,67250,Petrol,Automatic,1,North,19650.0,2026-01-12,22
Nissan,Pathfinder,2024,3000,Electric,Automatic,1,East,39050.0,2026-05-09,15
Honda,Civic,2022,33023,Petrol,Automatic,1,North,20000.0,2026-07-12,60
Toyota,Tacoma,2017,90850,Hybrid,Automatic,1,North,13600.0,2026-04-07,41
Ford,F-150,2019,52953,Petrol,Automatic,1,East,19450.0,2026-04-15,49
Chevrolet,Malibu,2021,48633,Petrol,Automatic,3,Central,13400.0,2026-05-12,15
Audi,Q5,2013,218551,Petrol,Automatic,2,Metro,5650.0,2026-04-18,140
Honda,Accord,2013,149684,Petrol,Manual,2,West,3500.0,2025-11-19,15
Chevrolet,Silverado,2012,237289,Petrol,Automatic,2,North,4700.0,2026-05-31,140
BMW,X5,2022,28101,Electric,Automatic,1,North,45650.0,2025-12-20,29
Hyundai,Tucson,2022,38368,Hybrid,Automatic,2,North,19700.0,2026-01-14,40
Porsche,Cayenne,2017,79117,Petrol,Automatic,1,North,41950.0,2026-03-20,13
Nissan,Altima,2015,113606,Petrol,Automatic,1,South,3250.0,2026-08-18,21
Tesla,Model Y,2024,3000,Electric,Automatic,1,Metro,49200.0,2026-02-20,20
Audi,A4,2013,136748,Petrol,Automatic,3,North,5150.0,2026-09-15,48
Mercedes-Benz,GLE,2023,17360,Petrol,Automatic,1,Central,52350.0,2026-08-15,11
Audi,A4,2018,80196,Diesel,Manual,1,South,14250.0,2025-12-17,25
Mazda,Mazda6,2016,98289,Diesel,Automatic,1,Central,8100.0,2026-09-02,32
Honda,Civic,2017,61255,Petrol,Automatic,1,West,11550.0,2026-08-29,54
BMW,5 Series,2021,51555,Hybrid,Manual,3,Metro,29350.0,2025-11-19,72
Honda,CR-V,2024,3000,Hybrid,Automatic,2,West,32150.0,2026-05-07,24
Honda,Accord,2022,31410,Hybrid,Automatic,2,Metro,23750.0,2025-12-13,29
Audi,Q7,2014,60540,Petrol,Automatic,2,Metro,10500.0,2025-10-17,74
BMW,M3,2024,3000,Diesel,Automatic,1,North,72900.0,2026-03-11,39
Honda,Accord,2024,3000,Petrol,Automatic,1,West,30050.0,2026-09-13,25
Audi,Q5,2019,59674,Petrol,Automatic,3,Central,20050.0,2025-12-04,35
Hyundai,Sonata,2023,15325,Petrol,Automatic,1,Metro,24550.0,2025-10-24,20
Nissan,Rogue,2021,41035,Petrol,Automatic,1,South,16400.0,2025-10-12,16
Honda,Pilot,2017,102273,Hybrid,Automatic,2,East,14850.0,2025-12-07,26
Tesla,Model Y,2019,76209,Electric,Automatic,1,South,24250.0,2025-09-26,30
Mazda,Mazda6,2024,3000,Petrol,Automatic,2,South,26500.0,2026-04-15,7
Volkswagen,Passat,2018,97919,Hybrid,Automatic,3,South,8600.0,2025-12-19,28
Mercedes-Benz,GLC,2024,3000,Petrol,Automatic,1,East,51450.0,2026-07-10,49
BMW,X3,2016,87404,Petrol,Automatic,3,East,9300.0,2026-07-01,17
BMW,5 Series,2021,68934,Petrol,Automatic,2,South,37750.0,2025-11-22,19
Mazda,Mazda6,2024,3000,Diesel,Automatic,1,East,26200.0,2026-04-04,14
Honda,CR-V,2021,53579,Petrol,Manual,2,Central,19000.0,2026-07-05,28
Toyota,Highlander,2022,30556,Hybrid,Automatic,1,South,32200.0,2026-03-20,36
Kia,Optima,2022,19922,Petrol,Automatic,1,North,20100.0,2026-07-29,13
Chevrolet,Silverado,2015,111323,Petrol,Automatic,4,West,8400.0,2026-04-10,20
Audi,Q7,2022,20695,Petrol,Automatic,1,South,44550.0,2026-02-17,46
Kia,Telluride,2023,10535,Petrol,Automatic,1,Metro,33350.0,2026-02-26,11
Hyundai,Elantra,2014,160345,Hybrid,Automatic,2,South,2650.0,2026-07-19,62
Audi,A6,2019,84555,Petrol,Manual,1,East,21150.0,2026-07-02,36
Ford,Escape,2020,95919,Petrol,Automatic,3,Central,12950.0,2026-03-24,40
Toyota,Corolla,2021,47970,Petrol,Automatic,2,West,15050.0,2026-04-01,27
Toyota,Camry,2014,158011,Petrol,Automatic,1,East,5950.0,2025-11-02,57
Nissan,Rogue,2022,37453,Petrol,Automatic,2,Central,18650.0,2026-07-29,17
Volkswagen,Golf,2015,77220,Petrol,Automatic,2,North,5300.0,2026-08-05,15
Hyundai,Elantra,2020,36257,Petrol,Manual,2,South,11000.0,2026-03-28,10
Hyundai,Elantra,2015,160307,Petrol,Automatic,1,South,3000.0,2025-11-28,28
Audi,A4,2016,101292,Petrol,Automatic,1,West,8350.0,2025-12-11,10
Mercedes-Benz,GLC,2024,3000,Hybrid,Manual,1,Metro,51650.0,2025-11-09,49
Honda,Pilot,2015,193880,Petrol,Automatic,2,Metro,11700.0,2026-07-07,86
Mercedes-Benz,GLC,2022,16354,Hybrid,Manual,1,South,35550.0,2026-07-14,51
Chevrolet,Equinox,2021,47891,Petrol,Automatic,3,West,16600.0,2025-12-03,34
Chevrolet,Equinox,2020,88479,Petrol,Automatic,2,West,13550.0,2026-05-21,22
Honda,Pilot,2015,147720,Hybrid,Automatic,4,Metro,11750.0,2025-09-27,45
Hyundai,Sonata,2024,3000,Petrol,Automatic,1,East,26950.0,2026-05-07,21
Mercedes-Benz,C-Class,2021,56475,Petrol,Automatic,2,Metro,29250.0,2026-07-29,38
Subaru,Outback,2023,13351,Petrol,Automatic,1,South,26700.0,2026-01-24,48
Honda,Pilot,2019,58514,Petrol,Automatic,1,Metro,23700.0,2026-04-27,36
Volkswagen,Jetta,2022,40098,Petrol,Automatic,1,East,16900.0,2025-12-25,33
Ford,F-150,2013,144828,Petrol,Automatic,2,West,4550.0,2026-03-09,66
BMW,5 Series,2018,84737,Hybrid,Automatic,3,Metro,20600.0,2026-05-23,46
Mercedes-Benz,E-Class,2024,3000,Petrol,Automatic,1,North,58800.0,2026-04-02,33
Tesla,Model Y,2020,52694,Electric,Automatic,1,North,24450.0,2026-01-21,24
Toyota,Highlander,2017,107734,Petrol,Manual,1,East,15400.0,2025-12-21,37
BMW,X3,2017,161998,Petrol,Manual,1,West,9400.0,2025-10-22,53
BMW,3 Series,2020,51737,Petrol,Automatic,1,South,21550.0,2026-08-04,65
Toyota,Corolla,2018,96217,Hybrid,Automatic,3,South,9200.0,2026-07-06,10
Hyundai,Santa Fe,2023,16051,Petrol,Automatic,1,West,28800.0,2025-09-20,27
BMW,5 Series,2024,3018,Petrol,Automatic,1,North,54400.0,2025-09-22,3
Mazda,Mazda6,2021,35625,Hybrid,Automatic,2,East,18150.0,2025-10-02,13
Honda,CR-V,2019,42415,Petrol,Automatic,1,Metro,15800.0,2026-01-25,10
Nissan,Pathfinder,2021,43191,Petrol,Automatic,2,West,23550.0,2026-04-03,22
Nissan,Sentra,2020,65596,Petrol,Automatic,2,South,11200.0,2026-03-23,9
Tesla,Model X,2020,46793,Electric,Automatic,1,South,47600.0,2026-01-04,24
Ford,Escape,2018,71627,Petrol,Manual,1,North,9300.0,2025-12-18,34
Tesla,Model S,2020,31591,Electric,Automatic,1,North,49450.0,2026-03-10,39
Kia,Sportage,2014,136436,Petrol,Automatic,3,Metro,4600.0,2025-10-22,35
Volkswagen,Passat,2021,26412,Petrol,Automatic,1,Central,18500.0,2026-07-16,37
Toyota,RAV4,2023,6883,Hybrid,Automatic,1,South,29800.0,2025-11-09,13
Toyota,Highlander,2012,165828,Petrol,Automatic,4,West,7950.0,2026-04-06,23
Kia,Forte,2020,65390,Hybrid,Automatic,1,West,11950.0,2025-09-22,20
Volkswagen,Passat,2019,56669,Diesel,Automatic,2,West,12600.0,2025-11-23,23
Toyota,RAV4,2024,3469,Hybrid,Automatic,1,North,30650.0,2026-07-03,17
Hyundai,Sonata,2022,25422,Hybrid,Automatic,1,West,21500.0,2025-11-02,38
Ford,Explorer,2012,175820,Electric,Automatic,3,West,4550.0,2026-01-23,140
Honda,Accord,2018,70630,Hybrid,Automatic,1,South,13300.0,2026-01-02,16
Hyundai,Elantra,2017,95405,Petrol,Automatic,2,South,7000.0,2026-01-11,17
Hyundai,Tucson,2024,3000,Petrol,Automatic,1,South,26000.0,2025-12-26,40
Honda,Civic,2021,47906,Petrol,Automatic,1,West,18300.0,2025-11-16,19
Subaru,Outback,2018,67147,Petrol,Automatic,1,South,11800.0,2026-01-23,16
Chevrolet,Malibu,2016,114382,Electric,Automatic,2,Metro,4750.0,2026-05-29,17
Toyota,RAV4,2016,117755,Hybrid,Automatic,1,South,10950.0,2026-07-24,28
Toyota,RAV4,2021,40664,Hybrid,Automatic,1,North,22600.0,2025-10-30,57
Toyota,Tacoma,2015,103866,Petrol,Automatic,1,West,10100.0,2026-06-18,41
BMW,5 Series,2022,23899,Petrol,Automatic,1,East,40150.0,2025-10-11,34
BMW,X3,2023,8872,Petrol,Automatic,1,South,42950.0,2026-07-24,46
BMW,X5,2017,180938,Hybrid,Automatic,2,Central,15100.0,2025-10-03,43
Toyota,Corolla,2021,29561,Petrol,Automatic,1,North,15600.0,2025-12-09,9
Hyundai,Sonata,2020,54703,Hybrid,Automatic,1,North,16200.0,2026-07-27,44
Hyundai,Elantra,2023,13109,Hybrid,Automatic,1,Metro,20600.0,2026-07-19,15
Hyundai,Sonata,2023,13438,Petrol,Automatic,1,North,21000.0,2025-12-20,4
Mercedes-Benz,E-Class,2017,154902,Hybrid,Automatic,2,South,14100.0,2026-06-27,29
Honda,Pilot,2021,32382,Petrol,Automatic,1,Central,25250.0,2026-03-03,21
Ford,Escape,2016,89757,Petrol,Automatic,2,East,7200.0,2026-07-10,24
Mercedes-Benz,GLC,2019,67859,Petrol,Manual,2,Central,17500.0,2026-06-21,32
Honda,Civic,2014,329043,Petrol,Automatic,1,South,3000.0,2026-07-16,140
Ford,Escape,2024,3806,Petrol,Automatic,1,North,27000.0,2026-06-12,24
Porsche,Macan,2013,231320,Petrol,Automatic,2,Metro,18200.0,2026-07-23,57
Ford,Escape,2015,68388,Electric,Automatic,2,North,6400.0,2026-04-06,36
Toyota,Highlander,2022,49588,Diesel,Automatic,2,South,30500.0,2026-07-22,22
Toyota,RAV4,2017,60178,Hybrid,Manual,2,South,12800.0,2026-04-05,76
Kia,Telluride,2014,62200,Petrol,Automatic,2,Central,8750.0,2026-09-13,111
Ford,Mustang,2023,15608,Petrol,Automatic,1,North,27600.0,2026-05-31,22
Kia,Forte,2019,50601,Petrol,Automatic,2,North,10150.0,2026-01-28,47
Nissan,Altima,2024,3000,Petrol,Automatic,1,East,28600.0,2026-08-18,22
Volkswagen,Passat,2021,43044,Petrol,Automatic,1,South,19650.0,2026-06-20,15
Volkswagen,Jetta,2012,169559,Hybrid,Manual,4,West,2750.0,2026-03-15,140
Volkswagen,Tiguan,2024,3000,Petrol,Automatic,1,East,29250.0,2026-09-11,24
Volkswagen,Jetta,2021,43161,Diesel,Manual,1,Metro,13700.0,2025-11-13,39
Toyota,Highlander,2023,16277,Hybrid,Automatic,1,North,36900.0,2025-12-12,14
Toyota,RAV4,2022,39070,Petrol,Automatic,2,North,21700.0,2026-07-30,15
Mazda,CX-5,2021,35210,Petrol,Automatic,1,West,20850.0,2026-01-02,25
Porsche,Macan,2017,48861,Electric,Manual,1,West,33400.0,2026-01-25,26
Honda,Civic,2016,139580,Petrol,Manual,1,Metro,6450.0,2026-07-11,35
Porsche,911,2020,81994,Petrol,Automatic,2,North,89600.0,2026-07-03,71
Mercedes-Benz,GLC,2020,60028,Hybrid,Automatic,1,Metro,26900.0,2025-10-13,51
Toyota,Corolla,2024,3000,Petrol,Automatic,1,Metro,23350.0,2026-01-29,18
Ford,Explorer,2022,15895,Diesel,Automatic,1,Central,24450.0,2026-07-05,25
Ford,Explorer,2017,83789,Petrol,Automatic,3,West,13900.0,2026-01-15,127
Mercedes-Benz,E-Class,2018,70550,Hybrid,Automatic,3,West,17250.0,2026-06-14,41
Toyota,Highlander,2022,33441,Hybrid,Automatic,1,East,31350.0,2026-03-31,12
Hyundai,Elantra,2023,17301,Petrol,Automatic,1,Metro,20150.0,2025-11-12,28
Ford,Explorer,2016,155548,Petrol,Automatic,2,West,8850.0,2026-01-07,24
Honda,Civic,2020,51985,Petrol,Manual,1,North,14250.0,2026-05-27,33
Mazda,Mazda6,2021,41464,Petrol,Automatic,1,West,17650.0,2025-12-15,34
Mercedes-Benz,GLE,2021,29195,Petrol,Automatic,2,West,37700.0,2026-08-06,37
Ford,F-150,2018,70768,Diesel,Automatic,1,West,17200.0,2026-02-06,56
Mazda,Mazda6,2023,11278,Petrol,Automatic,1,Metro,25200.0,2026-04-17,8
Toyota,Camry,2019,78939,Petrol,Automatic,2,North,13650.0,2025-12-04,14
BMW,5 Series,2024,3000,Hybrid,Automatic,1,South,57450.0,2026-02-02,15
Kia,Telluride,2015,70378,Hybrid,Automatic,2,West,10800.0,2025-10-18,39
BMW,5 Series,2020,63965,Petrol,Automatic,2,North,25850.0,2026-07-25,45
Toyota,Tacoma,2015,126567,Petrol,Automatic,2,Central,8800.0,2026-09-01,41
Ford,F-150,2015,137329,Petrol,Manual,3,East,7100.0,2026-06-03,74
Volkswagen,Tiguan,2021,60386,Petrol,Automatic,1,West,17450.0,2026-06-28,23
Hyundai,Santa Fe,2024,3000,Petrol,Manual,1,Metro,32150.0,2025-09-16,20
Toyota,Camry,2018,55408,Hybrid,Automatic,3,East,12750.0,2025-10-08,53
Toyota,Corolla,2015,154202,Petrol,Automatic,2,East,4250.0,2026-01-27,33
Volkswagen,Golf,2021,52185,Diesel,Automatic,1,East,16400.0,2025-11-19,32
Toyota,RAV4,2024,3000,Hybrid,Automatic,1,East,31550.0,2026-09-09,19
Honda,Accord,2024,3000,Hybrid,Manual,1,East,29500.0,2026-05-31,51
Mercedes-Benz,GLC,2022,18989,Hybrid,Automatic,2,East,36850.0,2026-06-16,48
Kia,Telluride,2024,3000,Petrol,Automatic,1,Metro,40100.0,2026-09-11,13
Honda,Accord,2024,3000,Hybrid,Automatic,1,West,29950.0,2025-12-15,40
BMW,M3,2019,82302,Petrol,Automatic,1,East,32300.0,2026-01-10,34
Subaru,Outback,2020,53644,Hybrid,Automatic,1,North,19550.0,2026-01-16,12
Volkswagen,Tiguan,2015,91759,Petrol,Automatic,1,East,5850.0,2026-06-13,84
Mazda,CX-5,2015,165771,Diesel,Automatic,3,East,5800.0,2025-09-24,4
Nissan,Pathfinder,2024,3000,Petrol,Automatic,1,West,38350.0,2026-05-06,41
BMW,M3,2019,87394,Petrol,Automatic,2,West,31950.0,2026-01-17,50
Mazda,Mazda3,2020,46574,Hybrid,Automatic,1,Metro,15000.0,2026-02-08,36
Chevrolet,Tahoe,2014,167262,Petrol,Automatic,1,North,12000.0,2026-08-12,27
Mazda,CX-5,2020,68013,Petrol,Manual,2,Metro,17100.0,2026-06-03,40
Honda,Civic,2023,10054,Petrol,Automatic,1,West,22650.0,2026-06-18,24
Honda,CR-V,2021,40955,Petrol,Automatic,2,Central,19950.0,2026-05-23,24
Nissan,Rogue,2017,92429,Petrol,Automatic,1,South,7600.0,2026-01-27,18
BMW,X5,2013,134383,Petrol,Automatic,2,Central,10750.0,2026-01-01,108
Mercedes-Benz,C-Class,2023,15134,Petrol,Automatic,1,North,41150.0,2026-06-08,41
Audi,Q5,2018,82689,Petrol,Automatic,4,Central,12350.0,2026-08-05,6
Chevrolet,Malibu,2013,119486,Petrol,Automatic,2,Central,3100.0,2026-09-04,41
Mercedes-Benz,E-Class,2020,41755,Petrol,Automatic,1,Central,30350.0,2025-12-11,27
Volkswagen,Golf,2016,92773,Diesel,Automatic,1,South,6450.0,2025-12-29,8
BMW,X3,2022,23805,Petrol,Automatic,1,Central,31050.0,2026-02-05,35
Honda,CR-V,2022,39713,Petrol,Automatic,1,East,22750.0,2026-03-14,43
Toyota,Tacoma,2024,3000,Hybrid,Automatic,1,Metro,35250.0,2026-05-05,22
Mercedes-Benz,E-Class,2024,3000,Petrol,Automatic,1,North,58350.0,2026-03-10,32
Tesla,Model X,2014,84230,Electric,Automatic,3,West,21200.0,2026-03-08,64
Ford,Explorer,2018,111998,Petrol,Manual,4,Metro,11600.0,2026-02-05,32
Honda,Civic,2020,58328,Petrol,Automatic,1,East,13900.0,2025-09-29,45
Audi,A4,2022,18852,Petrol,Automatic,1,Central,31150.0,2026-01-19,17
Mercedes-Benz,C-Class,2015,87332,Hybrid,Automatic,3,South,7150.0,2026-05-27,34
Porsche,Panamera,2021,42035,Petrol,Automatic,1,North,73100.0,2026-08-27,10
BMW,5 Series,2015,120247,Petrol,Automatic,2,Metro,9350.0,2026-05-21,9
Ford,Escape,2014,244474,Electric,Automatic,1,South,3350.0,2026-01-01,140
Toyota,RAV4,2023,13771,Petrol,Manual,1,West,26800.0,2025-09-23,40
Chevrolet,Equinox,2024,3000,Petrol,Automatic,1,Metro,31000.0,2025-11-06,28
Honda,Accord,2020,62738,Hybrid,Automatic,3,South,16050.0,2026-04-24,27
Ford,F-150,2024,3000,Petrol,Automatic,1,South,37950.0,2026-05-28,14
Toyota,Corolla,2024,3000,Hybrid,Automatic,1,Central,22150.0,2025-11-09,32
Honda,Civic,2021,57960,Petrol,Automatic,1,West,17550.0,2026-05-13,55
Toyota,Tacoma,2013,90220,Petrol,Automatic,2,Metro,8150.0,2025-12-12,51
Toyota,Highlander,2023,15226,Petrol,Automatic,1,West,33050.0,2025-11-13,17
Kia,Telluride,2020,65760,Petrol,Automatic,2,North,21500.0,2026-04-06,42
BMW,3 Series,2024,3000,Petrol,Automatic,2,Central,44100.0,2026-02-14,16
Ford,Mustang,2021,60908,Diesel,Automatic,1,East,20400.0,2026-07-02,25
Chevrolet,Equinox,2018,72678,Electric,Automatic,3,West,10600.0,2025-09-24,68
Porsche,Cayenne,2018,60635,Petrol,Manual,4,Metro,40800.0,2026-08-24,61
Volkswagen,Tiguan,2024,3576,Petrol,Automatic,1,Central,29600.0,2025-11-08,16
Volkswagen,Passat,2020,72068,Petrol,Automatic,2,South,15600.0,2025-11-10,26
Porsche,911,2013,232830,Petrol,Automatic,4,East,33850.0,2025-10-25,108
Ford,F-150,2024,3000,Hybrid,Manual,1,Metro,39500.0,2026-07-21,41
Volkswagen,Passat,2021,52196,Petrol,Manual,1,East,15450.0,2025-10-28,27
Porsche,Panamera,2016,129564,Petrol,Automatic,2,South,35500.0,2026-08-02,43
Honda,Civic,2021,33849,Hybrid,Automatic,1,Central,17650.0,2025-12-15,38
Honda,Civic,2014,156942,Petrol,Manual,4,East,3150.0,2026-03-22,43
Mercedes-Benz,E-Class,2022,24214,Diesel,Manual,1,Central,34000.0,2026-06-27,18
Volkswagen,Jetta,2013,171937,Petrol,Automatic,2,North,2750.0,2025-11-03,140
Mazda,Mazda3,2019,68070,Petrol,Automatic,2,Central,11900.0,2026-04-09,38
Tesla,Model 3,2020,61296,Electric,Automatic,2,West,22150.0,2026-01-14,38
Toyota,RAV4,2022,39444,Hybrid,Automatic,1,West,25550.0,2025-12-30,35
Toyota,Camry,2022,25335,Petrol,Automatic,1,South,20700.0,2026-04-10,6
Hyundai,Sonata,2017,88213,Petrol,Automatic,2,South,6850.0,2026-08-24,52
Toyota,Corolla,2013,150877,Petrol,Automatic,2,Central,3000.0,2026-05-05,131
Toyota,Corolla,2019,69194,Hybrid,Automatic,1,East,11750.0,2026-02-08,73
BMW,X3,2017,100934,Petrol,Automatic,2,Central,12900.0,2026-04-22,19
Mercedes-Benz,GLE,2017,157090,Diesel,Automatic,3,Metro,13750.0,2025-09-29,19
BMW,X3,2016,155859,Petrol,Automatic,1,West,10550.0,2026-03-12,51
BMW,M3,2021,49075,Petrol,Automatic,1,North,45600.0,2026-05-21,28
Ford,Escape,2023,15087,Hybrid,Automatic,1,Metro,26300.0,2026-05-26,13
Hyundai,Tucson,2015,93973,Petrol,Manual,2,Metro,6350.0,2025-10-30,45
BMW,3 Series,2016,144751,Petrol,Automatic,2,Central,7800.0,2026-02-13,83
Ford,Mustang,2017,68457,Diesel,Automatic,4,South,9250.0,2025-12-02,128
Hyundai,Tucson,2020,89385,Petrol,Automatic,1,West,14000.0,2025-10-12,46
Chevrolet,Tahoe,2015,107761,Petrol,Automatic,1,Metro,11150.0,2026-09-02,27
Honda,CR-V,2024,3000,Hybrid,Manual,1,North,29200.0,2026-01-26,18
Tesla,Model S,2019,118797,Electric,Automatic,2,East,33500.0,2026-04-26,18
Tesla,Model Y,2023,9893,Electric,Automatic,1,West,45400.0,2025-11-23,8
Ford,Mustang,2019,88208,Petrol,Manual,2,East,11050.0,2025-11-14,28
Honda,Accord,2013,175030,Hybrid,Manual,1,East,4300.0,2025-10-24,78
Hyundai,Tucson,2020,37846,Petrol,Automatic,1,West,15000.0,2026-01-25,43
Honda,Accord,2024,3000,Petrol,Automatic,1,West,31400.0,2026-04-29,13
Honda,CR-V,2013,125326,Petrol,Automatic,1,South,5300.0,2025-12-17,46
Nissan,Rogue,2017,122378,Petrol,Automatic,2,East,7200.0,2025-12-12,48
Tesla,Model 3,2020,79476,Electric,Automatic,1,East,22500.0,2026-03-19,43
Ford,Escape,2023,12258,Petrol,Automatic,1,West,25950.0,2025-12-29,49
Ford,Escape,2018,77234,Petrol,Automatic,4,Central,7650.0,2026-02-15,19
Mazda,CX-9,2022,18362,Petrol,Automatic,1,East,29900.0,2025-10-16,37
Hyundai,Tucson,2021,52793,Diesel,Manual,1,Metro,16800.0,2026-09-06,49
Tesla,Model Y,2018,78187,Electric,Automatic,3,West,16900.0,2026-01-08,46
BMW,M3,2019,57489,Petrol,Manual,1,South,26950.0,2025-12-16,8
Nissan,Rogue,2016,104648,Petrol,Automatic,1,West,5800.0,2026-03-31,44
Subaru,Impreza,2021,47053,Petrol,Manual,3,North,14600.0,2025-10-29,24
BMW,M3,2012,165363,Petrol,Automatic,1,Metro,9350.0,2026-08-26,76
Ford,Escape,2021,24844,Petrol,Manual,1,West,18700.0,2026-03-28,29
Hyundai,Tucson,2015,89244,Petrol,Manual,1,North,6950.0,2025-09-28,47
Nissan,Rogue,2015,129929,Petrol,Automatic,3,North,4300.0,2026-01-16,57
Volkswagen,Passat,2019,67986,Petrol,Automatic,1,Central,10600.0,2026-03-28,24
Nissan,Altima,2022,33458,Petrol,Manual,2,Metro,18700.0,2026-05-11,49
Volkswagen,Jetta,2018,54565,Petrol,Automatic,2,North,8300.0,2026-01-11,7
Toyota,RAV4,2014,136105,Petrol,Manual,3,Metro,9100.0,2026-07-02,44
Toyota,Corolla,2023,11406,Petrol,Manual,2,West,19250.0,2025-10-24,21
Tesla,Model 3,2018,126313,Electric,Automatic,2,South,14250.0,2025-10-29,38
BMW,5 Series,2019,92718,Petrol,Automatic,1,North,17750.0,2026-09-13,40
Porsche,911,2024,3000,Petrol,Automatic,1,Metro,123050.0,2026-04-20,11
Tesla,Model 3,2017,81989,Electric,Automatic,1,South,13850.0,2026-08-24,52
BMW,5 Series,2023,9055,Petrol,Automatic,2,Metro,48100.0,2026-06-03,32
Ford,Mustang,2018,88464,Electric,Automatic,2,West,14750.0,2025-12-16,32
Tesla,Model S,2022,28409,Electric,Automatic,2,West,61250.0,2026-04-13,13
Mercedes-Benz,GLC,2013,135232,Petrol,Automatic,1,North,6000.0,2026-08-02,37
Volkswagen,Jetta,2014,228375,Diesel,Automatic,1,East,2750.0,2025-09-24,140
Honda,Civic,2017,95297,Diesel,Manual,1,West,7300.0,2026-03-22,17
Toyota,Camry,2016,129026,Petrol,Automatic,2,North,8950.0,2025-12-26,56
Nissan,Altima,2013,140802,Petrol,Automatic,2,South,3250.0,2026-08-26,98
Tesla,Model S,2018,147852,Electric,Automatic,1,North,28400.0,2026-04-16,42
BMW,X5,2023,12309,Hybrid,Automatic,1,South,62300.0,2026-08-07,70
Subaru,Impreza,2020,60900,Petrol,Automatic,1,East,13650.0,2026-09-14,24
BMW,3 Series,2024,3000,Hybrid,Automatic,1,Metro,49400.0,2025-09-25,18
Porsche,Panamera,2023,21809,Petrol,Automatic,1,Metro,96250.0,2026-04-02,10
